email_id,subject,body,label
38611,Miracle weight loss - Lose 20kg in 2 weeks!,Doctor approved! Lose 20kg in just 14 days! Order now for only R599. SMS SLIM to 073 491 4296.,spam
19448,Male enhancement pills - 100% natural,Increase your size by 5cm in 30 days! Thousands of satisfied SA men! Discreet delivery to Rosebank. Order now R499. SMS MAN to 084 269 5911.,spam
31649,"You've won R100,000 in the Lotto!","CONGRATULATIONS!!! You have been selected as a winner in the South African National Lottery. To claim your R500,000 prize, send your ID and bank details to 073 492 2467.",spam
20307,Miracle weight loss - Lose 20kg in 2 weeks!,Doctor approved! Lose 20kg in just 14 days! Order now for only R599. SMS SLIM to 081 154 9851.,spam
77434,Nedbank: Transaction notification,You have successfully transferred R1033 to Zanele. Reference: Payment. Balance: R14379.,ham
21256,"Cash loan approved! R500,000 in your account today!","GOOD NEWS! Your loan of R50,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 072 285 3011.",spam
95692,SARS eFiling: Submit your tax return,"Dear Taxpayer, The deadline for individual tax returns is 24 October 2024. File online at www.sarsefiling.co.za.",ham
5108,Miracle weight loss - Lose 20kg in 2 weeks!,Doctor approved! Lose 20kg in just 14 days! Order now for only R599. SMS SLIM to 084 476 2465.,spam
20175,FINAL NOTICE - SARS Tax Refund Awaiting,"You have an unclaimed tax refund of R250,000 from SARS. Click this link to claim: http://sars-refund-portal.co.za. Enter your ID and banking details.",spam
19061,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
17096,Hot singles in Cape Town want to meet you tonight!,36 single ladies in Port Elizabeth are online NOW and want to meet you! Browse profiles FREE! Click: http://dating-tonight.co.za,spam
85297,Your Standard Bank statement is ready,"Dear Customer, Your monthly statement for account ending in 1980 is now available on Online Banking. Please log in to view your transactions.",ham
94275,Capitec: Payment received,Thank you for your payment of R4588. Your account has been credited. Next billing date: 11/06/2024.,ham
78835,Nedbank: Payment received,Thank you for your payment of R1007. Your account has been credited. Next billing date: 5/06/2024.,ham
84090,Your African Bank statement is ready,"Dear Customer, Your monthly statement for account ending in 6655 is now available on Online Banking. Please log in to view your transactions.",ham
32602,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Johannesburg. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 083 685 8667.",spam
19780,Government grant - R5000 per month available,"Are you unemployed? Government released new grants of R5,000/month. Apply now! Send ID and R150 application fee to 074 187 1539. Approval within 24 hours!!!",spam
6995,"You've won R50,000 in the Lotto!","CONGRATULATIONS!!! You have been selected as a winner in the South African National Lottery. To claim your R100,000 prize, send your ID and bank details to 083 825 8728.",spam
89123,Uber: Trip receipt,Thanks for riding! Trip from Johannesburg to Cape Town: R1487. Driver: Sarah (4.9 stars). Paid via card.,ham
4065,"Cash loan approved! R250,000 in your account today!","GOOD NEWS! Your loan of R10,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 073 819 9362.",spam
1418,"Cash loan approved! R250,000 in your account today!","GOOD NEWS! Your loan of R10,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 082 735 7975.",spam
8351,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
96786,Telkom: Your bundle expires soon,"Hi, your 20GB data bundle expires on 25/05/2024. Dial *136# to renew or buy more bundles.",ham
90798,Mr Price: Order Confirmation,Thank you for your order! Order number: TA262769. Total: R3731. Expected delivery: 3-5 business days to Durban.,ham
45197,CLICK HERE - See who viewed your Facebook profile,Want to know who's checking your profile? Click here to see who viewed your Facebook profile: http://fb-profile-viewer.com. 100% free!,spam
56520,Absa ALERT: Suspicious activity detected,Your Standard Bank account shows unusual transactions. Verify immediately: http://Standard Bank-secure.net. Account will be locked in 6 hours!,spam
83305,Rain: Welcome bonus,Welcome to Cell C! You've received 5GB free data as a welcome gift. Valid for 7 days.,ham
52425,Congratulations! iPhone 15 Pro for FREE,Your cell number won an iPhone 15 Pro! Claim by paying R350 courier fee. Send proof to 084 649 3796. Limited time offer!!!,spam
24952,FINAL NOTICE - SARS Tax Refund Awaiting,"You have an unclaimed tax refund of R10,000 from SARS. Click this link to claim: http://sars-refund-portal.co.za. Enter your ID and banking details.",spam
46697,WARNING: Computer infected with 46 viruses!,ALERT! Your device has 46 viruses! Battery damaged 28%! Click here immediately to download fix: http://antivirus-sa.com. Device will stop working in 6 hours!,spam
77369,City of Durban: Municipal account,Your municipal account for May 2024 is available. Amount due: R2075. Payment due: 26/06/2024.,ham
9395,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
20729,Congratulations! iPhone 15 Pro for FREE,Your cell number won an iPhone 15 Pro! Claim by paying R350 courier fee. Send proof to 083 107 7468. Limited time offer!!!,spam
97055,Your FNB statement is ready,"Dear Customer, Your monthly statement for account ending in 7810 is now available on Online Banking. Please log in to view your transactions.",ham
79496,SARS eFiling: Submit your tax return,"Dear Taxpayer, The deadline for individual tax returns is 24 October 2024. File online at www.sarsefiling.co.za.",ham
31117,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
76256,Game: Order Confirmation,Thank you for your order! Order number: PNP444250. Total: R4617. Expected delivery: 3-5 business days to Johannesburg.,ham
96648,Standard Bank: Transaction notification,You have successfully transferred R1127 to Nomsa. Reference: Fuel. Balance: R18225.,ham
85835,Absa: Payment received,Thank you for your payment of R3188. Your account has been credited. Next billing date: 7/06/2024.,ham
76183,Eskom Load Shedding Schedule Update,Loadshedding Update: Stage 2 will be implemented from 18:00 to 18:00 today. Check your schedule.,ham
17111,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
18013,"You have inherited R500,000 from Nigeria","Dear Friend, Your relative has left you R500,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
79805,City of Sandton: Municipal account,Your municipal account for May 2024 is available. Amount due: R2686. Payment due: 26/06/2024.,ham
89419,DStv: Subscription payment reminder,"Hi, your DStv Premium subscription of R829 is due on 22/05/2024. Pay online or via the app.",ham
72104,Mr Price: Order Confirmation,Thank you for your order! Order number: MK873642. Total: R678. Expected delivery: 3-5 business days to Rosebank.,ham
42061,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
67338,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Rosebank. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 071 934 6726.",spam
53282,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Sandton. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 082 251 6697.",spam
55650,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Pretoria. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 084 628 9503.",spam
70547,Checkers: Order Confirmation,Thank you for your order! Order number: TA690810. Total: R3183. Expected delivery: 3-5 business days to Durban.,ham
51752,Male enhancement pills - 100% natural,Increase your size by 5cm in 30 days! Thousands of satisfied SA men! Discreet delivery to Soweto. Order now R499. SMS MAN to 082 606 1931.,spam
77054,Eskom Load Shedding Schedule Update,Loadshedding Update: Stage 5 will be implemented from 22:00 to 13:00 today. Check your schedule.,ham
10333,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
52233,Miracle weight loss - Lose 20kg in 2 weeks!,Doctor approved! Lose 20kg in just 14 days! Order now for only R599. SMS SLIM to 082 469 5047.,spam
24307,"Make R100,000 per day working from home!!!","Amazing opportunity to earn R100,000 daily from home in Durban! No experience needed! Send R299 registration fee. WhatsApp 084 991 5760 NOW!!!",spam
73004,Eskom Load Shedding Schedule Update,Loadshedding Update: Stage 5 will be implemented from 14:00 to 8:00 today. Check your schedule.,ham
56806,FINAL NOTICE - SARS Tax Refund Awaiting,"You have an unclaimed tax refund of R500,000 from SARS. Click this link to claim: http://sars-refund-portal.co.za. Enter your ID and banking details.",spam
13046,"You've won R10,000 in the Lotto!","CONGRATULATIONS!!! You have been selected as a winner in the South African National Lottery. To claim your R500,000 prize, send your ID and bank details to 071 429 3511.",spam
42028,Sangoma love spells - 100% guaranteed,"Powerful traditional healer in Soweto. Bring back lost lover in 24 hours! Money spells, luck spells. Call Mama Zodwa 081 168 9188.",spam
92843,Absa: Balance inquiry result,Your African Bank account balance: R48204. Available balance: R48204. Last transaction: Debit R4041.,ham
90903,Capitec: Transaction notification,You have successfully transferred R4877 to David. Reference: Groceries. Balance: R13563.,ham
48050,Get rich with Bitcoin investment!!!,"Turn R1,000 into R500,000 in one week with our Bitcoin system! Join traders in Cape Town. WhatsApp 071 929 4612. Guaranteed returns!!!",spam
76476,Uber: Trip receipt,Thanks for riding! Trip from Johannesburg to Pretoria: R3445. Driver: Thandi (4.9 stars). Paid via card.,ham
98349,Woolworths - Your order has been dispatched,"Hi Peter, Great news! Your order #MK319666 has been dispatched and will arrive in 2-3 business days.",ham
49609,Hot singles in Pretoria want to meet you tonight!,33 single ladies in Soweto are online NOW and want to meet you! Browse profiles FREE! Click: http://dating-tonight.co.za,spam
47761,Congratulations! iPhone 15 Pro for FREE,Your cell number won an iPhone 15 Pro! Claim by paying R350 courier fee. Send proof to 071 269 5483. Limited time offer!!!,spam
79035,Cell C: Welcome bonus,Welcome to Cell C! You've received 1GB free data as a welcome gift. Valid for 7 days.,ham
95918,Woolworths: Order Confirmation,Thank you for your order! Order number: PNP643701. Total: R4135. Expected delivery: 3-5 business days to Rosebank.,ham
59630,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
23116,"WORK FOR GOOGLE - R500,000 per week from home","Google is hiring in South Africa! Work from home! Earn R100,000/week doing simple tasks. Send R199 registration to 083 997 1583. Start immediately!",spam
93726,Rain: Your bundle expires soon,"Hi, your 5GB data bundle expires on 12/05/2024. Dial *136# to renew or buy more bundles.",ham
8583,Hot singles in Sandton want to meet you tonight!,49 single ladies in Soweto are online NOW and want to meet you! Browse profiles FREE! Click: http://dating-tonight.co.za,spam
52983,"You've won R10,000 in the Lotto!","CONGRATULATIONS!!! You have been selected as a winner in the South African National Lottery. To claim your R100,000 prize, send your ID and bank details to 083 951 2646.",spam
27573,Miracle weight loss - Lose 20kg in 2 weeks!,Doctor approved! Lose 20kg in just 14 days! Order now for only R599. SMS SLIM to 072 173 1588.,spam
47879,CLICK HERE - See who viewed your Facebook profile,Want to know who's checking your profile? Click here to see who viewed your Facebook profile: http://fb-profile-viewer.com. 100% free!,spam
61269,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
91815,Mr Price - Your order has been dispatched,"Hi David, Great news! Your order #WW221342 has been dispatched and will arrive in 2-3 business days.",ham
49374,Miracle weight loss - Lose 20kg in 2 weeks!,Doctor approved! Lose 20kg in just 14 days! Order now for only R599. SMS SLIM to 082 981 2152.,spam
84583,SARS eFiling: Submit your tax return,"Dear Taxpayer, The deadline for individual tax returns is 24 October 2024. File online at www.sarsefiling.co.za.",ham
16943,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
22671,Congratulations! iPhone 15 Pro for FREE,Your cell number won an iPhone 15 Pro! Claim by paying R350 courier fee. Send proof to 081 722 8688. Limited time offer!!!,spam
76983,Takealot: Delivery update,Your order #MK455880 is out for delivery. Estimated arrival: 9 minutes. Total: R679.,ham
93656,Cell C: Your bundle expires soon,"Hi, your 10GB data bundle expires on 19/05/2024. Dial *136# to renew or buy more bundles.",ham
8482,"WORK FOR GOOGLE - R500,000 per week from home","Google is hiring in South Africa! Work from home! Earn R250,000/week doing simple tasks. Send R199 registration to 084 375 9021. Start immediately!",spam
34718,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
40547,FINAL NOTICE - SARS Tax Refund Awaiting,"You have an unclaimed tax refund of R250,000 from SARS. Click this link to claim: http://sars-refund-portal.co.za. Enter your ID and banking details.",spam
27584,CLICK HERE - See who viewed your Facebook profile,Want to know who's checking your profile? Click here to see who viewed your Facebook profile: http://fb-profile-viewer.com. 100% free!,spam
2674,Hot singles in Pretoria want to meet you tonight!,27 single ladies in Durban are online NOW and want to meet you! Browse profiles FREE! Click: http://dating-tonight.co.za,spam
59088,Standard Bank ALERT: Suspicious activity detected,Your Absa account shows unusual transactions. Verify immediately: http://Absa-secure.net. Account will be locked in 6 hours!,spam
60842,"You have inherited R10,000 from Nigeria","Dear Friend, Your relative has left you R50,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
99341,City of Soweto: Municipal account,Your municipal account for May 2024 is available. Amount due: R4400. Payment due: 27/06/2024.,ham
10584,Male enhancement pills - 100% natural,Increase your size by 5cm in 30 days! Thousands of satisfied SA men! Discreet delivery to Soweto. Order now R499. SMS MAN to 071 152 4318.,spam
37680,Government grant - R5000 per month available,"Are you unemployed? Government released new grants of R5,000/month. Apply now! Send ID and R150 application fee to 072 881 8063. Approval within 24 hours!!!",spam
53294,FINAL NOTICE - SARS Tax Refund Awaiting,"You have an unclaimed tax refund of R500,000 from SARS. Click this link to claim: http://sars-refund-portal.co.za. Enter your ID and banking details.",spam
37432,"WORK FOR GOOGLE - R500,000 per week from home","Google is hiring in South Africa! Work from home! Earn R10,000/week doing simple tasks. Send R199 registration to 081 762 3594. Start immediately!",spam
14361,Nedbank ALERT: Suspicious activity detected,Your Absa account shows unusual transactions. Verify immediately: http://Absa-secure.net. Account will be locked in 6 hours!,spam
9238,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
30639,Hot singles in Durban want to meet you tonight!,30 single ladies in Cape Town are online NOW and want to meet you! Browse profiles FREE! Click: http://dating-tonight.co.za,spam
55821,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
96092,Checkers: Delivery update,Your order #MK601767 is out for delivery. Estimated arrival: 9 minutes. Total: R3221.,ham
51140,Government grant - R5000 per month available,"Are you unemployed? Government released new grants of R5,000/month. Apply now! Send ID and R150 application fee to 084 634 3672. Approval within 24 hours!!!",spam
91354,Telkom: Your bundle expires soon,"Hi, your 2GB data bundle expires on 15/05/2024. Dial *136# to renew or buy more bundles.",ham
28216,Capitec ALERT: Suspicious activity detected,Your Absa account shows unusual transactions. Verify immediately: http://Absa-secure.net. Account will be locked in 6 hours!,spam
88675,Mr Price: Flash sale today,FLASH SALE! 70% off storewide for 24 hours only! Shop online or in-store.,ham
59664,Government grant - R5000 per month available,"Are you unemployed? Government released new grants of R5,000/month. Apply now! Send ID and R150 application fee to 071 955 8340. Approval within 24 hours!!!",spam
60509,"You have inherited R500,000 from Nigeria","Dear Friend, Your relative has left you R10,000. To process this inheritance, we need your banking details and R2,000 legal fee.",spam
22459,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
17974,Government grant - R5000 per month available,"Are you unemployed? Government released new grants of R5,000/month. Apply now! Send ID and R150 application fee to 084 748 5779. Approval within 24 hours!!!",spam
62017,"Cash loan approved! R250,000 in your account today!","GOOD NEWS! Your loan of R50,000 has been PRE-APPROVED! Money in account within 1 hour! Blacklisted? No problem! Send ID to 082 428 7322.",spam
11305,"WORK FOR GOOGLE - R10,000 per week from home","Google is hiring in South Africa! Work from home! Earn R100,000/week doing simple tasks. Send R199 registration to 071 731 7458. Start immediately!",spam
71679,Takealot: Flash sale today,FLASH SALE! 40% off storewide for 24 hours only! Shop online or in-store.,ham
49774,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
43621,PayPal account suspended - Verify immediately,Your PayPal account has been limited due to unusual activity. Verify within 24 hours: http://paypal-verify-sa.com. Enter card details to confirm.,spam
10850,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
16185,WIN a brand new BMW X5 - Enter FREE!!!,You've been selected to win a BMW X5 worth R1.2 million! Click this link and enter your details. Winner announced next week!!!,spam
73946,Makro: Flash sale today,FLASH SALE! 40% off storewide for 24 hours only! Shop online or in-store.,ham
5799,Congratulations! iPhone 15 Pro for FREE,Your cell number won an iPhone 15 Pro! Claim by paying R350 courier fee. Send proof to 071 205 4352. Limited time offer!!!,spam
96594,Your Standard Bank statement is ready,"Dear Customer, Your monthly statement for account ending in 8013 is now available on Online Banking. Please log in to view your transactions.",ham
48110,WARNING: Computer infected with 16 viruses!,ALERT! Your device has 12 viruses! Battery damaged 28%! Click here immediately to download fix: http://antivirus-sa.com. Device will stop working in 6 hours!,spam
75454,DStv: Subscription payment reminder,"Hi, your DStv Premium subscription of R829 is due on 12/05/2024. Pay online or via the app.",ham
49165,Hot singles in Pretoria want to meet you tonight!,11 single ladies in Durban are online NOW and want to meet you! Browse profiles FREE! Click: http://dating-tonight.co.za,spam
85284,MTN: Your bundle expires soon,"Hi, your 2GB data bundle expires on 22/05/2024. Dial *136# to renew or buy more bundles.",ham
84156,Vodacom: Your bundle expires soon,"Hi, your 20GB data bundle expires on 23/05/2024. Dial *136# to renew or buy more bundles.",ham
88211,Woolworths - Your order has been dispatched,"Hi Peter, Great news! Your order #MK215235 has been dispatched and will arrive in 2-3 business days.",ham
75693,City of Soweto: Municipal account,Your municipal account for May 2024 is available. Amount due: R2168. Payment due: 8/06/2024.,ham
5120,Get rich with Bitcoin investment!!!,"Turn R1,000 into R250,000 in one week with our Bitcoin system! Join traders in Port Elizabeth. WhatsApp 082 596 6950. Guaranteed returns!!!",spam
93935,Your FNB statement is ready,"Dear Customer, Your monthly statement for account ending in 3485 is now available on Online Banking. Please log in to view your transactions.",ham
